"Phylum","Class","Organism_name","Organism","Number_of_rpoN_genes","Total_organisms_per_class","Class_count_organims_with_rpoN"
"Bacteroidota","Candidatus Sulfidibacteriales","Candidatus Sulfidibacterium hydrothermale","shyr",1,1,1
"Candidatus Methylomirabilia","Candidatus Methylomirabilales","Candidatus Methylomirabilis oxygeniifera","mox",1,1,1
"Armatimonadota","Fimbriimonadia","Fimbriimonas ginsengisoli Gsoil 348","fgi",0,1,1
"Chloroflexota","Caldilineae","Caldilinea aerophila DSM 14535 = NBRC 104270","cap",0,1,1
"Balneolota","Balneolia","Cyclonatronum proteinivorum Omega","cprv",1,1,1
"Pseudomonadota","Acidithiobacillia","Acidithiobacillus ferrooxidans ATCC 23270","afr",1,1,1
"Kiritimatiellota","Kiritimatiellia","Kiritimatiella glycovorans L21-Fru-AB (Verrucomicrobia bacterium L21-Fru-AB)","vbl",1,1,1
"Bacillota","Limnochordia","Limnochorda pilosa HC45","lpil",1,1,1
"Chloroflexota","Tepidiformia","Tepidiforma bonchosmolovskayae 3753O","tbh",0,1,1
"Verrucomicrobiota","Candidatus Pinguicoccus","Candidatus Pinguicoccus supinus KKR18_Esm, endosymbiont of Euplotes vanleeuwenhoeki","psup",0,1,1
"Armatimonadota","Armatimonadota incertae sedis","Candidatus Nitrosymbiomonas proteolyticus 317325-2","npy",1,1,1
"Chloroflexota","Thermoflexia","Thermoflexus hugenholtzii RBS10-4","thug",0,1,1
"Candidatus Saccharimonadia","Candidatus Nanosynbacterales","Candidatus Nanosynbacter lyticus TM7x (Candidatus Saccharibacteria oral taxon TM7x)","sox",0,1,1
"Thermodesulfobacteriota","Desulfobaccia","Desulfobacca acetoxidans DSM 11109","dao",1,1,1
"Coprothermobacterota","Coprothermobacteria","Coprothermobacter proteolyticus DSM 5265","cpo",1,1,1
"Chrysiogenota","Chrysiogenia","Desulfurispirillum indicum S5","din",1,1,1
"Caldisericota/Cryosericota group","Caldisericota","Caldisericum exile AZM16c01","cex",1,1,1
"Elusimicrobiota","Elusimicrobia","Elusimicrobium minutum Pei191","emi",0,1,1
"Calditrichota","Calditrichia","Caldithrix abyssi DSM 13497","caby",1,1,1
"Atribacterota","Atribacteria","Atribacter laminatus RT761","alam",0,1,1
"Acidobacteriota","Vicinamibacteria","Luteitalea pratensis DSM 100886","abac",1,1,1
"Candidatus Peribacteria","Candidatus Peribacterales","Candidatus Peribacter riflensis RIFOXYA2_FULL_PER-ii_58_14","prf",0,1,1
"Planctomycetota","Candidatus Uabimicrobiia","Candidatus Uabimicrobium amorphum SRT547","uam",1,1,1
"Thermodesulfobiota","Thermodesulfobiia","Thermodesulfobium narugense DSM 14796","tnr",0,1,1
"Pseudomonadota","Hydrogenophilia","Hydrogenophilus thermoluteolus TH-1","htl",1,1,1
"Chloroflexota","Ktedonobacteria","Ktedonosporobacter rubrisoli SCAWS-G2","kbs",1,1,1
"Bacillota","Dethiobacteria","Candidatus Contubernalis alkaliaceticus Z-7904","calk",0,1,1
"Pseudomonadota","Magnetococcia","Magnetococcus marinus MC-1","mgm",1,1,1
"Candidatus Saccharimonadia","Candidatus Saccharimonadales","Candidatus Saccharimonas aalborgensis","saal",0,1,1
"Thermodesulfobacteriota","Desulfarculia","Desulfarculus baarsii DSM 2075","dbr",1,1,1
"Nitrospinota/Tectimicrobiota group","Nitrospinota","Candidatus Nitronauta litoralis EB","nli",1,1,1
"Kiritimatiellota","Tichowtungiia","Tichowtungia aerotolerans S-5007","taer",1,1,1
"Candidatus Babeliae","Candidatus Babeliales","Candidatus Babela massiliensis 673862 (delta proteobacterium BABL1)","dpb",0,1,1
"Verrucomicrobiota","Spartobacteria","Candidatus Xiphinematobacter sp. Idaho Grape, endosymbiont of Xiphinema americanum (nematode)","xii",1,1,1
"Candidatus Bipolaricaulia","Candidatus Bipolaricaulales","Candidatus Bipolaricaulis sibiricus Ch78","bih",0,1,1
"Bdellovibrionota","Oligoflexia","Fluviispira sanaruensis RF1110005","sbf",1,1,1
"Fibrobacterota","Fibrobacteria","Fibrobacter succinogenes subsp. succinogenes S85","fsu",1,1,1
"Elusimicrobiota","Endomicrobiia","Endomicrobium proavitum Rsa215 (Candidatus Endomicrobium sp. Rsa215)","epo",0,1,1
"Armatimonadota","Chthonomonadia","Chthonomonas calidirosea T49","ccz",1,1,1
"Chloroflexota","Ardenticatenia","Candidatus Promineifilum breve (Candidatus Promineofilum breve Cfx-K)","pbf",0,1,1
"Mycoplasmatota","Candidatus Izimaplasma","Candidatus Izimaplasma bacterium HR1","mbj",0,1,1
"Verrucomicrobiota","Methylacidiphilae","Methylacidiphilum infernorum V4","min",1,1,1
"Candidatus Cloacimonadota","Candidatus Cloacimonadia","Candidatus Cloacimonas acidaminovorans Evry","caci",1,1,1
"Thermodesulfobacteriota","Syntrophia","Syntrophus aciditrophicus SB","sat",1,1,1
"Thermodesulfobacteriota","Desulfomonilia","Desulfomonile tiedjei DSM 6799","dti",1,1,1
"Verrucomicrobiota","Methylacidimicrobium","Methylacidimicrobium sp. AP8","meap",1,1,1
"Candidatus Omnitrophota","Candidatus Velamenicoccus","Candidatus Velamenicoccus archaeovorus LiM","vai",0,1,1
"Bacillota","Bacillota incertae sedis","Caldicellulosiruptor saccharolyticus DSM 8903","csc",0,1,1
"Candidatus Absconditabacterales","Candidatus Absconditicoccaceae","Candidatus Absconditicoccus praedator M39-6","aprd",0,1,1
"Chloroflexota","Candidatus Thermofonsia","Phototrophicus methaneseepsis ZRK33 (Phototrophicus methaneseepsis rifampicinis)","pmet",0,1,1
"Actinomycetota","Rubrobacteria","Rubrobacter tropicus SCSIO 52909","rub",0,1,1
"Candidatus Saccharibacteria incertae sedis","Candidatus Minimicrobia","Candidatus Minimicrobia vallesae IHU2","mvl",0,1,1
"Pseudomonadota","Zetaproteobacteria","Mariprofundus aestuarium CP-5","maes",1,1,1
"Dictyoglomota","Dictyoglomia","Dictyoglomus thermophilum H-6-12","dth",0,1,1
